Name,Description,MSRP,Image
Dior,"Dior
Forever Skin Contour Stick",$47.00,https://media.ulta.com/i/ulta/2629065?w=400&$ProductCardNeutralBGLight$&fmt=auto
Dior,"Dior
Forever Skin Perfect Stick",$52.00,https://media.ulta.com/i/ulta/2629069?w=400&$ProductCardNeutralBGLight$&fmt=auto
Dior,"Dior
Sauvage Eau de Toilette",$68.00 - $240.00,https://media.ulta.com/i/ulta/2299553?w=400&$ProductCardNeutralBGLight$&fmt=auto
Dior,"Dior
Miss Dior Eau de Parfum",$108.00 - $215.00,https://media.ulta.com/i/ulta/2585910?w=400&$ProductCardNeutralBGLight$&fmt=auto
Dior,"Dior
Sauvage Eau de Parfum",$85.00 - $275.00,https://media.ulta.com/i/ulta/2525854?w=400&$ProductCardNeutralBGLight$&fmt=auto
Dior,"Dior
Addict Lip Glow Oil",$40.00,https://media.ulta.com/i/ulta/2604383?w=400&$ProductCardNeutralBGLight$&fmt=auto
Dior,"Dior
Miss Dior Blooming Bouquet Eau de Toilette",$93.00 - $178.00,https://media.ulta.com/i/ulta/2604915?w=400&$ProductCardNeutralBGLight$&fmt=auto
Dior,"Dior
Dior Forever Fluid Skin Glow Foundation",$57.00,https://media.ulta.com/i/ulta/2604999?w=400&$ProductCardNeutralBGLight$&fmt=auto
Dior,"Dior
Addict Lip Glow Lip Balm",$40.00,https://media.ulta.com/i/ulta/2604377?w=400&$ProductCardNeutralBGLight$&fmt=auto
Dior,"Dior
Addict Lip Maximizer Gloss",$40.00,https://media.ulta.com/i/ulta/2604279?w=400&$ProductCardNeutralBGLight$&fmt=auto
Dior,"Dior
Sauvage Elixir",$193.00 - $255.00,https://media.ulta.com/i/ulta/2600700?w=400&$ProductCardNeutralBGLight$&fmt=auto
Dior,"Dior
J'adore Eau de Parfum",$108.00 - $215.00,https://media.ulta.com/i/ulta/2047890?w=400&$ProductCardNeutralBGLight$&fmt=auto
Dior,"Dior
J'adore Parfum D'eau Eau de Parfum",$108.00 - $172.00,https://media.ulta.com/i/ulta/2602821?w=400&$ProductCardNeutralBGLight$&fmt=auto
Dior,"Dior
Sauvage Parfum",$105.00 - $335.00,https://media.ulta.com/i/ulta/2552607?w=400&$ProductCardNeutralBGLight$&fmt=auto
Dior,"Dior
Miss Dior Parfum",$115.00 - $172.00,https://media.ulta.com/i/ulta/2621571?w=400&$ProductCardNeutralBGLight$&fmt=auto
Dior,"Dior
Rosy Glow Blush",$40.00,https://media.ulta.com/i/ulta/2612199?w=400&$ProductCardNeutralBGLight$&fmt=auto
Dior,"Dior
Dior Forever Foundation Fluid Matte",$57.00,https://media.ulta.com/i/ulta/2604875?w=400&$ProductCardNeutralBGLight$&fmt=auto
Dior,"Dior
Forever Skin Correct Concealer",$40.00,https://media.ulta.com/i/ulta/2605025?w=400&$ProductCardNeutralBGLight$&fmt=auto
Dior,"Dior
J'adore L'or",$135.00 - $235.00,https://media.ulta.com/i/ulta/2614688?w=400&$ProductCardNeutralBGLight$&fmt=auto
Dior,"Dior
Capture Totale Le Sérum",$125.00 - $165.00,https://media.ulta.com/i/ulta/2611698?w=400&$ProductCardNeutralBGLight$&fmt=auto
Dior,"Dior
Addict Lipstick",$46.00,https://media.ulta.com/i/ulta/2604331?w=400&$ProductCardNeutralBGLight$&fmt=auto
Dior,"Dior
Hypnotic Poison Eau de Toilette",$93.00 - $113.00,https://media.ulta.com/i/ulta/2018642?w=400&$ProductCardNeutralBGLight$&fmt=auto
Dior,"Dior
Rouge Dior Lipstick",$49.00,https://media.ulta.com/i/ulta/2618575?w=400&$ProductCardNeutralBGLight$&fmt=auto
Dior,"Dior
Miss Dior Blooming Bouquet Eau de Toilette Roller-Pearl",$46.00,https://media.ulta.com/i/ulta/2524207?w=400&$ProductCardNeutralBGLight$&fmt=auto
Dior,"Dior
Homme Eau de Toilette",$105.00 - $165.00,https://media.ulta.com/i/ulta/2557599?w=400&$ProductCardNeutralBGLight$&fmt=auto
Dior,"Dior
Dreamskin Care & Perfect - For a Skin-Perfecting, Filter Effect",$100.00 - $180.00,https://media.ulta.com/i/ulta/2625453?w=400&$ProductCardNeutralBGLight$&fmt=auto
Dior,"Dior
Forever Natural Nude Foundation",$57.00,https://media.ulta.com/i/ulta/2604394?w=400&$ProductCardNeutralBGLight$&fmt=auto
